dataset,ratio,max_data_num,predict_data_num,metric,method,value,size_constraint
GIGAWORD,512,3200,1638400,RelAcc,ZeroShot,0.8764,1900000000.0
GIGAWORD,512,3200,1638400,PearCorr,SubTuning,0.7072,1900000000.0
GIGAWORD,512,3200,1638400,RelAcc,SubTuning,0.8764,1900000000.0
GIGAWORD,512,3200,1638400,PearCorr,ModelSize,-0.2207,1900000000.0
GIGAWORD,512,3200,1638400,RelAcc,ModelSize,0.6238,1900000000.0
FLAN,8,204800,1638400,PearCorr,AtS,0.9226,1900000000.0
FLAN,8,204800,1638400,RelAcc,AtS,0.936,1900000000.0
FLAN,8,204800,1638400,PearCorr,ZeroShot,-0.1163,1900000000.0
FLAN,8,204800,1638400,RelAcc,ZeroShot,1.0,1900000000.0
FLAN,8,204800,1638400,PearCorr,SubTuning,0.691,1900000000.0
FLAN,8,204800,1638400,RelAcc,SubTuning,1.0,1900000000.0
FLAN,8,204800,1638400,PearCorr,ModelSize,-0.3417,1900000000.0
FLAN,8,204800,1638400,RelAcc,ModelSize,0.9615,1900000000.0
FLAN,16,102400,1638400,PearCorr,AtS,0.7502,1900000000.0
FLAN,16,102400,1638400,RelAcc,AtS,0.936,1900000000.0
FLAN,16,102400,1638400,PearCorr,ZeroShot,-0.1163,1900000000.0
FLAN,16,102400,1638400,RelAcc,ZeroShot,1.0,1900000000.0
FLAN,16,102400,1638400,PearCorr,SubTuning,0.5494,1900000000.0
FLAN,16,102400,1638400,RelAcc,SubTuning,1.0,1900000000.0
FLAN,16,102400,1638400,PearCorr,ModelSize,-0.3417,1900000000.0
FLAN,16,102400,1638400,RelAcc,ModelSize,0.9615,1900000000.0
FLAN,32,51200,1638400,PearCorr,AtS,0.6683,1900000000.0
FLAN,32,51200,1638400,RelAcc,AtS,1.0,1900000000.0
FLAN,32,51200,1638400,PearCorr,ZeroShot,-0.1163,1900000000.0
FLAN,32,51200,1638400,RelAcc,ZeroShot,1.0,1900000000.0
FLAN,32,51200,1638400,PearCorr,SubTuning,0.4385,1900000000.0
FLAN,32,51200,1638400,RelAcc,SubTuning,1.0,1900000000.0
FLAN,32,51200,1638400,PearCorr,ModelSize,-0.3417,1900000000.0
FLAN,32,51200,1638400,RelAcc,ModelSize,0.9615,1900000000.0
FLAN,64,25600,1638400,PearCorr,AtS,0.6396,1900000000.0
FLAN,64,25600,1638400,RelAcc,AtS,1.0,1900000000.0
FLAN,64,25600,1638400,PearCorr,ZeroShot,-0.1163,1900000000.0
FLAN,64,25600,1638400,RelAcc,ZeroShot,1.0,1900000000.0
FLAN,64,25600,1638400,PearCorr,SubTuning,0.3513,1900000000.0
FLAN,64,25600,1638400,RelAcc,SubTuning,1.0,1900000000.0
FLAN,64,25600,1638400,PearCorr,ModelSize,-0.3417,1900000000.0
FLAN,64,25600,1638400,RelAcc,ModelSize,0.9615,1900000000.0
FLAN,128,12800,1638400,PearCorr,AtS,0.5421,1900000000.0
FLAN,128,12800,1638400,RelAcc,AtS,1.0,1900000000.0
FLAN,128,12800,1638400,PearCorr,ZeroShot,-0.1163,1900000000.0
FLAN,128,12800,1638400,RelAcc,ZeroShot,1.0,1900000000.0
FLAN,128,12800,1638400,PearCorr,SubTuning,0.3033,1900000000.0
FLAN,128,12800,1638400,RelAcc,SubTuning,1.0,1900000000.0
FLAN,128,12800,1638400,PearCorr,ModelSize,-0.3417,1900000000.0
FLAN,128,12800,1638400,RelAcc,ModelSize,0.9615,1900000000.0
FLAN,256,6400,1638400,PearCorr,AtS,0.5059,1900000000.0
FLAN,256,6400,1638400,RelAcc,AtS,1.0,1900000000.0
FLAN,256,6400,1638400,PearCorr,ZeroShot,-0.1163,1900000000.0
FLAN,256,6400,1638400,RelAcc,ZeroShot,1.0,1900000000.0
FLAN,256,6400,1638400,PearCorr,SubTuning,0.2604,1900000000.0
FLAN,256,6400,1638400,RelAcc,SubTuning,1.0,1900000000.0
FLAN,256,6400,1638400,PearCorr,ModelSize,-0.3417,1900000000.0
FLAN,256,6400,1638400,RelAcc,ModelSize,0.9615,1900000000.0
FLAN,512,3200,1638400,PearCorr,AtS,0.4553,1900000000.0
FLAN,512,3200,1638400,RelAcc,AtS,0.8054,1900000000.0
FLAN,512,3200,1638400,PearCorr,ZeroShot,-0.1163,1900000000.0
FLAN,512,3200,1638400,RelAcc,ZeroShot,1.0,1900000000.0
FLAN,512,3200,1638400,PearCorr,SubTuning,0.2157,1900000000.0
FLAN,512,3200,1638400,RelAcc,SubTuning,1.0,1900000000.0
FLAN,512,3200,1638400,PearCorr,ModelSize,-0.3417,1900000000.0
FLAN,512,3200,1638400,RelAcc,ModelSize,0.9615,1900000000.0
WMT19,8,204800,1638400,PearCorr,AtS,0.9852,1400000000.0
WMT19,8,204800,1638400,RelAcc,AtS,0.9909,1400000000.0
WMT19,8,204800,1638400,PearCorr,ZeroShot,0.3062,1400000000.0
WMT19,8,204800,1638400,RelAcc,ZeroShot,0.6912,1400000000.0
WMT19,8,204800,1638400,PearCorr,SubTuning,0.9478,1400000000.0
WMT19,8,204800,1638400,RelAcc,SubTuning,0.9909,1400000000.0
WMT19,8,204800,1638400,PearCorr,ModelSize,0.3241,1400000000.0
WMT19,8,204800,1638400,RelAcc,ModelSize,0.788,1400000000.0
WMT19,16,102400,1638400,PearCorr,AtS,0.9676,1400000000.0
WMT19,16,102400,1638400,RelAcc,AtS,0.9909,1400000000.0
WMT19,16,102400,1638400,PearCorr,ZeroShot,0.3062,1400000000.0
WMT19,16,102400,1638400,RelAcc,ZeroShot,0.6912,1400000000.0
WMT19,16,102400,1638400,PearCorr,SubTuning,0.9019,1400000000.0
WMT19,16,102400,1638400,RelAcc,SubTuning,0.9909,1400000000.0
WMT19,16,102400,1638400,PearCorr,ModelSize,0.3241,1400000000.0
WMT19,16,102400,1638400,RelAcc,ModelSize,0.788,1400000000.0
WMT19,32,51200,1638400,PearCorr,AtS,0.9699,1400000000.0
WMT19,32,51200,1638400,RelAcc,AtS,0.9477,1400000000.0
WMT19,32,51200,1638400,PearCorr,ZeroShot,0.3062,1400000000.0
WMT19,32,51200,1638400,RelAcc,ZeroShot,0.6912,1400000000.0
WMT19,32,51200,1638400,PearCorr,SubTuning,0.8331,1400000000.0
